nombres,cuotas,precioOnline,precioAnterior,precioCoutas
SMART LED ANDROID TV CROWN MUSTANG 50 PULGADAS 4K UHD CM-50ST005-2,6,"499.999,00","619.999,00",83333.0
SMART LED ANDROID TV CROWN MUSTANG 40 PULGADAS FULL HD CM-40ST005-2,3,"305.999,00","382.500,00",101999.0
SMART LED TV HISENSE 58 PULGADAS 4K UHD 58A64H,10,"665.999,00","713.999,00",66599.0
SMART LED GOOGLE TV PHILIPS 43 PULGADAS 4K UHD 43PUD7408/77,10,"549.999,00","626.999,00",54999.0
SMART LED TV PHILIPS 55 PULGADAS 4K UHD 55PUD7908/77,10,"699.999,00","796.999,00",69999.0
SMART LED ANDROID TV QUINT 55 PULGADAS 4K UHD QT2-55ANDROID,12,"578.999,00","635.999,00",48249.0
SMART QNED TV LG 55 PULGADAS 4K UHD 55QNED80SRA,6,"1.299.999,00","1.394.999,00",216666.0
SMART QNED TV LG 65 PULGADAS 4K UHD 65QNED80SRA,6,"1.669.999,00","1.756.699,00",278333.0
SMART LED ANDROID TV HITACHI 43 PULGADAS FULL HD CDH-LE43SMART23-F,6,"366.999,00","425.999,00",61166.0
SMART QLED TV + BARRA DE SONIDO SAMSUNG 98 PULGADAS 4K UHD QN98Q80CAGCZBB (QN98Q80CAGCZB + S801),10,"9.999.999,00","11.049.999,00",999999.0
SMART LED ANDROID TV PHILCO 43 PULGADAS FULL HD PLD43FS23CH,10,"380.999,00","433.602,00",38099.0
SMART LED GOOGLE TV BGH 50 PULGADAS 4K UHD B5023US6G,0,"545.999,00","658.999,00",545999.0
SMART TV NOBLEX 50 PULGADAS ULTRA HD DK50X6550,0,"599.999,00","709.999,00",599999.0
SMART LED GOOGLE TV PHILIPS 65 PULGADAS 4K UHD 65PUD7908/77,6,"1.007.999,00","1.149.999,00",167999.0
SMART LED GOOGLE TV PHILIPS 50 PULGADAS 4K UHD 50PUD7408/77,6,"573.999,00","668.999,00",95666.0
SMART LED GOOGLE TV PHILIPS 55 PULGADAS 4K UHD 55PUD7408/77,3,"669.999,00","775.999,00",223333.0
SMART LED TV SAMSUNG 75 PULGADAS 4K UHD UN75CU8000GCZB,10,"1.949.999,00","2.154.999,00",194999.0
SMART LED TV SAMSUNG 70 PULGADAS 4K UHD UN70CU7000GCZB,10,"1.259.999,00","1.392.999,00",125999.0
SMART QLED GOOGLE TV TCL 55 PULGADAS 4K UHD L55C645RV,12,"752.999,00","807.999,00",62749.0
SMART QLED TV TCL 65 PULGADAS 4K UHD L65C645-F,12,"1.056.999,00","1.101.699,00",88083.0
